time,original_signal,deconvolved_signal
752,0.039082665,9.165203020832755e-06
753,0.038565021,-9.082727733054223e-06
754,0.038054235,8.991192416791214e-06
755,0.037550211,-8.88311541590762e-06
756,0.037052866,8.741254592678162e-06
757,0.036562108,-8.517182866550382e-06
758,0.036077846,8.043742813318507e-06
759,0.035600003,2.807334430902605e-06
760,0.035128485,4.812653544960692e-05
761,0.034663215,5.571241385640255e-05
762,0.034204107,9.943479733487949e-05
763,0.033751078,0.00010693247914847842
764,0.033304051,0.00014957295327947882
765,0.032862943,0.00015676660551465225
766,0.03242768,0.000198462797983666
767,0.03199818,0.00020529998377181378
768,0.031574368,0.00024611228451112765
769,0.031156171,0.0002525754268433502
770,0.030743513,0.00029254555643910867
771,0.03033632,0.000298634411493822
772,0.02993452,0.0003377898075696825
773,0.029538043,0.0003435070954546215
774,0.029146817,0.0003818748378337205
775,0.028760772,0.00038722689503348803
776,0.028379839,0.00042482685138740334
777,0.028003953,0.0004298202393060819
778,0.027633045,0.00046667552129482225
779,0.02726705,0.00047131998648842463
780,0.026905902,0.000507448884167919
781,0.026549539,0.0005117530400345914
782,0.026197894,0.0005471749046045413
783,0.025850907,0.0005511462712030759
784,0.025508516,0.0005858775641941824
785,0.02517066,0.0005895268271781334
786,0.024837278,0.0006235848009681984
787,0.024508312,0.0006269195820924173
788,0.024183704,0.0006603210160291534
789,0.023863396,0.0006633525284685978
790,0.023547327,0.0006961126669758264
791,0.023235448,0.0006988461024771672
792,0.022927698,0.0007309821138976533
793,0.022624023,0.0007334277628250827
794,0.022324372,0.0007649513417194006
795,0.02202869,0.0007671196591619114
796,0.021736924,0.0007980478788091054
797,0.021449022,0.000799945224989339
798,0.021164933,0.0008302902905775227
799,0.020884607,0.0008319248793526035
800,0.020607993,0.0008617009861448728
801,0.020335043,0.0008630806746704518
802,0.02006571,0.0008923018833675846
803,0.019799942,0.0008934363439752815
804,0.019537695,0.0009221135184801218
805,0.019278921,0.0009230087069326298
806,0.019023575,0.0009511557633945057
807,0.018771611,0.0009518200514442773
808,0.018522983,0.000979448570834317
809,0.018277651,0.0009798886877272254
810,0.018035566,0.0010070123797574222
811,0.017796688,0.0010072349771038111
812,0.017560974,0.001033862979203453
813,0.017328382,0.0010338763411326304
814,0.01709887,0.0010600202775206831
815,0.016872399,0.0010598304602197765
816,0.016648926,0.0010855018284642787
817,0.016428413,0.0010851146554223306
818,0.016210822,0.0011103235480954179
819,0.015996112,0.0011097477672604632
820,0.015784247,0.0011345049561402904
821,0.015575186,0.001133745647704776
822,0.015368896,0.0011580601792454672
823,0.015165336,0.0011571237631131529
824,0.014964474,0.0011810056276356897
825,0.014766272,0.0011798986674500613
826,0.014570695,0.001203358629871673
827,0.014377709,0.0012020862690550684
828,0.014187278,0.0012251331998303766
829,0.01399937,0.0012237008311530343
830,0.013813951,0.0012463438962395232
831,0.013630987,0.0012447580630399293
832,0.013450447,0.0012670051583490176
833,0.013272298,0.001265271181800472
834,0.013096509,0.0012871317823046414
835,0.012923048,0.001285255123277087
836,0.012751884,0.0013067370098998861
837,0.012582988,0.0013047223440505605
838,0.012416327,0.0013258339914935583
839,0.012251875,0.0013236856045336937
840,0.012089602,0.0013444358270350374
841,0.011929477,0.0013421612491173014
842,0.011771472,0.0013625556033373416
843,0.011615561,0.0013601569930269761
844,0.011461715,0.001380205172314277
845,0.011309907,0.0013776893056658538
846,0.011160108,0.0013973975470787537
847,0.011012294,0.0013947667758988777
848,0.010866439,0.001414143051832639
849,0.010722514,0.00141140441127133
850,0.010580497,0.00143045450771776
851,0.01044036,0.0014276116046686982
852,0.010302079,0.0014463429354914868
853,0.010165629,0.0014433986371435407
854,0.010030987,0.0014618175736979995
855,0.009898128,0.0014587773431281525
856,0.009767029,0.0014768908440537798
857,0.009637667,0.0014737587155401381
858,0.009510017,0.001491573260458362
859,0.009384058,0.0014883517247547503
860,0.009259768,0.001505872804530744
861,0.009137124,0.001502567680578333
862,0.009016104,0.00151980152214306
863,0.008896688,0.001516415523466113
864,0.008778852,0.0015333683192053135
865,0.008662578,0.0015299045570210791
866,0.008547843,0.001546581625467525
867,0.008434629,0.001543044468227341
868,0.008322913,0.0015594516453416912
869,0.008212678,0.0015558440073725518
870,0.008103903,0.001571986934837412
871,0.007996568,0.001568313096242207
872,0.007890654,0.001584195434780232
873,0.007786144,0.0015804574267477849
874,0.007683017,0.0015960858723247876
875,0.007581257,0.0015922873272099878
876,0.007480844,0.0016076665951290467
877,0.007381762,0.0016038109717326473
878,0.007283992,0.001618946360878018
879,0.007187516,0.0016150364490872754
880,0.007092319,0.0016299313007363597
881,0.006998383,0.0016259708753107703
882,0.00690569,0.0016406311879531095
883,0.006814225,0.0016366211689428764
884,0.006723972,0.0016510508232151439
885,0.006634914,0.0016469957579198537
886,0.006547036,0.0016611994430244107
887,0.006460321,0.0016571013145629842
888,0.006374755,0.001671082645496275
889,0.006290323,0.0016669443490924325
890,0.006207008,0.0016807087745637737
891,0.006124797,0.0016765318349043622
892,0.006043675,0.0016900826409755613
893,0.005963628,0.0016858709705182759
894,0.005884641,0.0016992130387963396
895,0.005806699,0.0016949681012294303
896,0.005729791,0.0017081039235123212
897,0.005653901,0.0017038292634460204
898,0.005579016,0.0017167637804968196
899,0.005505123,0.0017124601782129503
900,0.005432208,0.0017251967558624228
901,0.005360259,0.0017208662340387
902,0.005289264,0.001733408947032331
903,0.005219208,0.0017290550200486149
904,0.005150081,0.0017414069190254513
905,0.005081869,0.0017370308744767537
906,0.00501456,0.0017491959928440796
907,0.004948143,0.0017447986348920305
908,0.004882606,0.0017567811971234545
909,0.004817936,0.0017523650426481557
910,0.004754124,0.0017641681285442891
911,0.004691156,0.001759734532911864
912,0.004629022,0.0017713625863697948
913,0.004567712,0.0017669107330639238
914,0.004507213,0.0017783706803812531
915,0.004447516,0.0017738983584888316
916,0.004388609,0.0017851996697033129
917,0.004330483,0.0017806940761302033
918,0.004273126,0.0017918782623643403
919,0.0042154,0.001786977649091019
920,0.004159567,0.0017971417383089755
921,0.004104475,0.0017927342756842773
922,0.004050111,0.001803473680502606
923,0.003996468,0.0017990472565311538
924,0.003943536,0.0018096414093979709
925,0.003891304,0.001805202203422257
926,0.003839765,0.0018156445471308067
927,0.003788908,0.0018111989969476765
928,0.003738724,0.0018214892382409859
929,0.003689205,0.0018170396777516186
930,0.003640342,0.0018271789362914606
931,0.003592127,0.001822729503063248
932,0.00354455,0.001832720257805458
933,0.003497602,0.0018282719788269052
934,0.003451277,0.0018381140412324728
935,0.003405566,0.0018336700033124344
936,0.003360459,0.001843367416596015
937,0.003315951,0.0018389277650499075
938,0.003272031,0.0018484821030008336
939,0.003228694,0.0018440489427954912
940,0.00318593,0.0018534621032568644
941,0.003143733,0.0018490370225426888
942,0.003102095,0.0018583110060402344
943,0.003061008,0.0018538957823474743
944,0.003020466,0.0018630323789558503
945,0.00298046,0.0018586282626216124
946,0.002940984,0.001867629182655847
947,0.002902032,0.0018632369674226987
948,0.002863595,0.001872105887057193
949,0.002825667,0.0018677262958124415
950,0.002788241,0.0018764646974242542
951,0.002751221,0.0018720759890833898
952,0.002714601,0.0018805635466703453
953,0.002678466,0.001876037413284332
954,0.00264281,0.0018843415543594285
955,0.002607626,0.001879836981302248
956,0.002572908,0.001888020169044822
957,0.00253865,0.001883538794133879
958,0.002504846,0.0018916031888763412
959,0.002471489,0.0018871462721798292
960,0.002438574,0.0018950927808998588
961,0.002406095,0.001890660783893888
962,0.002374047,0.001898492026704086
963,0.002342422,0.001894086582062149
964,0.002311217,0.0019018029742429313
965,0.002280425,0.001897424561168009
966,0.002250041,0.001905028833902634
967,0.002220059,0.0019006778518675374
968,0.002190474,0.0019081707998220739
969,0.002161281,0.0019038474413899471
970,0.002132475,0.0019112316781100466
971,0.002104051,0.0019069363667876286
972,0.002076002,0.00191421631003747
973,0.002048326,0.00190994050058445
974,0.002021016,0.0019171451301119005
975,0.001994067,0.0019122140418500447
976,0.001967476,0.001914730120366888
977,0.001941236,0.001900598243042396
978,0.001915345,0.001893305815158404
979,0.001889796,0.001871745425934781
980,0.001864585,0.0018589154891330208
981,0.001839709,0.0018334927438446965
982,0.001815162,0.0018178463431324874
983,0.00179094,0.0017906393235890242
984,0.001767039,0.0017737500298788595
985,0.001743455,0.001745945037829188
986,0.001720182,0.001728700235973141
987,0.001697218,0.0017009520443622634
