HNO3_190_Hz,HNO3_191_Hz,CalKey,IH20_145_Hz,I_127_Hz,time,N2ZeroKey,ScrubberZeroKey
9206.812084,665.7445338,0,1401419.449,2762365.15,3648072135,0,0
9388.495982,653.2688625,0,1419415.379,2787642.67,3648072136,0,0
9077.772498,654.7062192,0,1410100.937,2769400.978,3648072137,0,0
9342.481196,639.2936222,0,1427847.004,2804223.442,3648072138,0,0
9294.226021,629.7029555,0,1427688.789,2806467.628,3648072139,0,0
9159.877151,622.4781275,0,1412983.799,2768440.628,3648072140,0,0
9063.443542,460.749073,0,1413021.851,2780013.657,3648072141,0,0
9208.249301,681.5723609,0,1412258.625,2779702.95,3648072142,0,0
9066.086262,670.4357453,0,1409286.022,2780288.887,3648072143,0,0
9375.665337,648.5108752,0,1430790.901,2820566.75,3648072144,0,0
9051.67982,628.8166158,0,1416947.365,2785856.247,3648072145,0,0
9150.326997,645.9668744,0,1423549.843,2797809.41,3648072146,0,0
9154.615551,579.570746,0,1411088.085,2782741.737,3648072147,0,0
9396.938235,650.6524514,0,1438556.004,2832304.573,3648072148,0,0
9125.199169,562.4903366,0,1406089.306,2765727.043,3648072149,0,0
9343.483299,648.2134108,0,1411728.477,2776294.136,3648072150,0,0
9244.155139,635.1214834,0,1412061.787,2777242.47,3648072151,0,0
9416.908771,673.0995607,0,1424725.914,2789425.278,3648072152,0,0
9417.183697,591.8152165,0,1419353.104,2774365.807,3648072153,0,0
9432.070702,670.0629368,0,1436709.404,2807466.888,3648072154,0,0
9458.536655,624.2581643,0,1430601.978,2804666.328,3648072155,0,0
9464.43826,644.5656065,0,1421550.655,2781439.209,3648072156,0,0
9391.234815,675.0738248,0,1421867.18,2770902.252,3648072157,0,0
9598.405659,628.8598757,0,1411096.573,2765194.511,3648072158,0,0
9381.517023,665.4966623,0,1430429.935,2799855.232,3648072159,0,0
9232.214093,660.4740396,0,1406941.891,2745048.141,3648072160,0,0
9554.930031,623.70128,0,1425534.344,2785420.418,3648072161,0,0
9454.690665,673.5100411,0,1435259.533,2807451.82,3648072162,0,0
9585.572779,670.3666411,0,1445761.776,2836945.343,3648072163,0,0
9448.125213,651.9467104,0,1414918.137,2787947.273,3648072164,0,0
9233.804047,615.8361677,0,1396344.28,2749769.783,3648072165,0,0
9313.587099,628.8344041,0,1416414.547,2802919.96,3648072166,0,0
9326.575696,664.7616159,0,1426867.58,2812286.186,3648072167,0,0
9445.765615,635.0072566,0,1423120.499,2809321.213,3648072168,0,0
9321.48695,673.1169298,0,1420074.368,2794264.412,3648072169,0,0
9317.468107,705.6748029,0,1403427.029,2766555.023,3648072170,0,0
9093.537927,622.4331446,0,1405109.024,2782299.423,3648072171,0,0
9295.0508,644.0698169,0,1431910.61,2831841.469,3648072172,0,0
9222.082794,709.817512,0,1424433.422,2809548.378,3648072173,0,0
9330.289066,470.4299849,0,1432419.872,2825097.656,3648072174,0,0
9402.102232,700.5358115,0,1420348.549,2815344.048,3648072175,0,0
9215.141088,630.5569783,0,1413322.353,2796974.373,3648072176,0,0
9040.524811,599.3701518,0,1390819.073,2746001.244,3648072177,0,0
9324.121475,574.7220479,0,1405552.483,2762607.765,3648072178,0,0
9197.124094,638.2292137,0,1397706.223,2759323.311,3648072179,0,0
9240.100533,612.571137,0,1372266.388,2706119.919,3648072180,0,0
9209.307283,570.128439,0,1345060.635,2656563.568,3648072181,0,0
9321.824461,511.5504842,0,1338696.575,2637928.2,3648072182,0,0
9308.282286,615.182193,0,1354588.127,2671751.404,3648072183,0,0
9342.577308,560.7306492,0,1338314.438,2645519.066,3648072184,0,0
9403.055161,581.701519,0,1332987.213,2621801.186,3648072185,0,0
